,accuracy,correct,count
apple,66.66666666666667,6.0,9.0
banana,77.77777777777777,7.0,9.0
beetroot,100.0,10.0,10.0
bell pepper,55.55555555555556,5.0,9.0
cabbage,100.0,10.0,10.0
capsicum,66.66666666666667,6.0,9.0
carrot,85.71428571428571,6.0,7.0
cauliflower,100.0,9.0,9.0
chilli pepper,100.0,7.0,7.0
corn,100.0,10.0,10.0
cucumber,100.0,10.0,10.0
eggplant,100.0,10.0,10.0
garlic,100.0,10.0,10.0
ginger,100.0,10.0,10.0
grapes,100.0,8.0,8.0
jalepeno,100.0,9.0,9.0
kiwi,100.0,10.0,10.0
lemon,85.71428571428571,6.0,7.0
lettuce,100.0,9.0,9.0
mango,90.0,9.0,10.0
onion,100.0,9.0,9.0
orange,100.0,7.0,7.0
paprika,40.0,4.0,10.0
pear,100.0,10.0,10.0
peas,100.0,9.0,9.0
pineapple,100.0,10.0,10.0
pomegranate,100.0,10.0,10.0
potato,66.66666666666667,6.0,9.0
raddish,100.0,8.0,8.0
soy beans,100.0,10.0,10.0
spinach,100.0,10.0,10.0
sweetcorn,50.0,5.0,10.0
sweetpotato,100.0,10.0,10.0
tomato,100.0,10.0,10.0
turnip,90.0,9.0,10.0
watermelon,100.0,10.0,10.0
